SerialNo,VID,SentenceID,Sentence,SentenceMappedVID
1.0,v_PlayingTabla_g01_c04,Sentence1_v_PlayingTabla_g01_c04,A guy is playing tabla and taking powder in his palm intermediately.,Sentence1_v_PlayingTabla_g01_c04
2.0,v_PlayingTabla_g01_c04,Sentence2_v_PlayingTabla_g01_c04,"In mesmerizing synchronization, a guy plays tabla while sprinkling powder in his palm.",
3.0,v_PlayingTabla_g02_c01,Sentence3_v_PlayingTabla_g02_c01,A Long-haired person skillfully taps the tabla under vibrant yellow stage lights.,
4.0,v_PlayingTabla_g02_c01,Sentence4_v_PlayingTabla_g02_c01,"A person with long hair gracefully plays tabla, illuminated by a warm yellow backdrop.",
5.0,v_PlayingTabla_g03_c02,Sentence5_v_PlayingTabla_g03_c02,"With stylishly thick hair, the person dips his left hand into powder and playing tabla in front of a maroon curtain.",
6.0,v_PlayingTabla_g03_c02,Sentence6_v_PlayingTabla_g03_c02,"Amidst maroon drapes at the background, a person with voluminous hair dipping his left hand in powder and playing tabla.",
7.0,v_PlayingTabla_g04_c06,Sentence7_v_PlayingTabla_g04_c06,"Draped in a white kurta, the tabla player nods in graceful harmony with other instruments against a backdrop of subdued gray.",
8.0,v_PlayingTabla_g04_c06,Sentence8_v_PlayingTabla_g04_c06,"A person wearing white kurta with gray backdrop, playing tabla and gracefully synchronises with the other instruments by nodding his head.",
9.0,v_PlayingTabla_g05_c03,Sentence9_v_PlayingTabla_g05_c03,"With a maroon backdrop, a person in a black kurta skillfully plays the tabla, complemented by another musician on the harmonium.",
10.0,v_PlayingTabla_g05_c03,Sentence10_v_PlayingTabla_g05_c03,"In a black kurta, a tabla player performs against a rich maroon backdrop while accompanied by a harmonium player.",
11.0,v_PlayingTabla_g06_c03,Sentence11_v_PlayingTabla_g06_c03,"On a stage with a half-elevated microphone stand, a woman dressed in a black shirt skillfully plays the tabla against a backdrop of yellow designs.",
12.0,v_PlayingTabla_g06_c03,Sentence12_v_PlayingTabla_g06_c03,"A backdrop of intricate yellow designs complements the performance of a lady wearing a black shirt, who plays the tabla on a stage in front of a half-elevated microphone stand.",
13.0,v_PlayingTabla_g07_c02,Sentence13_v_PlayingTabla_g07_c02,"In a golden kurta, a man plays the tabla on stage against a black backdrop and occasionally taps the tabla with a hammer.",
14.0,v_PlayingTabla_g07_c02,Sentence14_v_PlayingTabla_g07_c02,"On a stage with a black background, a man dressed in a golden kurta plays the tabla and occasionally strikes it with a hammer.",
15.0,v_PlayingTabla_g08_c03,Sentence15_v_PlayingTabla_g08_c03,"With a black and white theme, a bearded artist skillfully plays the tabla in front of a small microphone stand, moving his head in rhythm.",
16.0,v_PlayingTabla_g08_c03,Sentence16_v_PlayingTabla_g08_c03,"Against a black and white backdrop, a bearded musician plays the tabla with finesse, his rhythmic head movements enhancing the performance.",
17.0,v_PlayingTabla_g09_c01,Sentence17_v_PlayingTabla_g09_c01,"Seated in her room adorned with a white wall decorated with garlands, a girl in a red kurti engrossingly plays the tabla.",
18.0,v_PlayingTabla_g09_c01,Sentence18_v_PlayingTabla_g09_c01,"In her room with a white wall adorned by garlands, a girl wearing a red kurti plays the tabla with focused dedication.",
19.0,v_PlayingTabla_g10_c03,Sentence19_v_PlayingTabla_g10_c03,"On a rooftop enclosed with a white grill boundary, a man in a ghee-colored Punjabi outfit adorned with decorations and wearing spectacle passionately plays the tabla while harmonizing with a harmonium player.",
20.0,v_PlayingTabla_g10_c03,Sentence20_v_PlayingTabla_g10_c03,"With a ghee-colored Punjabi attire enriched with decorations & wearinga spectacle, a man sits on a rooftop with a white grill boundary, skillfully playing the tabla alongside a harmonium player.",
21.0,v_PlayingTabla_g11_c03,Sentence21_v_PlayingTabla_g11_c03,"Seated comfortably in a drawing room, a person dressed in a maroon Punjabi outfit skillfully plays the tabla on a small table, encircled by four elegant red sofas.",
22.0,v_PlayingTabla_g11_c03,Sentence22_v_PlayingTabla_g11_c03,"In a well-appointed drawing room, a person donning a maroon Punjabi attire exhibits their tabla prowess on a small table, encompassed by four inviting red sofas.",
23.0,v_PlayingTabla_g12_c02,Sentence23_v_PlayingTabla_g12_c02,"Gray Punjabi-clad person plays tabla, girl in blue kurti strums guitar on a green background stage.",
24.0,v_PlayingTabla_g12_c02,Sentence24_v_PlayingTabla_g12_c02,"On a stage with green background, a person in gray Punjabi plays tabla, while a girl in blue kurti strums guitar.",
25.0,v_PlayingTabla_g13_c04,Sentence25_v_PlayingTabla_g13_c04,White t-shirt person plays tabla on blue stage with brown backdrop.,
26.0,v_PlayingTabla_g13_c04,Sentence26_v_PlayingTabla_g13_c04,"Person in white t-shirt plays tabla on blue stage, brown backdrop.",
27.0,v_PlayingTabla_g14_c03,Sentence27_v_PlayingTabla_g14_c03,"A person wearing Blue punjabi plays tabla on floor, girl wearing white kurti and brick-red skirt sitting on chair plays guitar, and a person with green kurta on floor with tanpura.",
28.0,v_PlayingTabla_g14_c03,Sentence28_v_PlayingTabla_g14_c03,"Tabla player in blue punjabi on floor, girl guitarist wearing white kurti and brick-red skirt on chair, green kurta person with tanpura on floor.",
29.0,v_PlayingTabla_g15_c03,Sentence29_v_PlayingTabla_g15_c03,"A person Playing tabla in ghee punjabi, accompanied by tanpura player sitting in front of 2 pillars of king's palace veranda.",
30.0,v_PlayingTabla_g15_c03,Sentence30_v_PlayingTabla_g15_c03,"A Person in ghee punjabi plays tabla, another with tanpura near 2 pillars of king's palace veranda.",
31.0,v_Archery_g01_c01,Sentence1_v_Archery_g01_c01,A red haired lady playing archery in the basket ball court,
32.0,v_Archery_g01_c01,Sentence2_v_Archery_g01_c01,In the basket ball court a red haired lady plays archery,
33.0,v_Archery_g03_c02,Sentence3_v_Archery_g03_c02,A man playing archery outdoor in the fields by aiming the sky,
,v_Archery_g03_c02,Sentence4_v_Archery_g03_c02,A man playing archery standing on the grass with small plants in the background and aiming the sky,
,v_Archery_g04_c05,Sentence5_v_Archery_g04_c05,A man playing archery outdoor where mountains are seen by holding many arrows in hand,
,v_Archery_g04_c05,Sentence6_v_Archery_g04_c05,A man wearing red jacket with long hair playing archery outside,
,v_Archery_g05_c02,Sentence7_v_Archery_g05_c02,A woman playing archery in the basement having pipes in the background,
,v_Archery_g05_c02,Sentence8_v_Archery_g05_c02,A woman with blue shirt playing archery inside the basement,
,v_Archery_g06_c06,Sentence9_v_Archery_g06_c06,A man playing archery in front of the garage in the morning,
,v_Archery_g06_c06,Sentence10_v_Archery_g06_c06,A man playing archery in the garage wearing black dress,
,v_Archery_g07_c02,Sentence11_v_Archery_g07_c02,A man playing archery towards the sky by wearing a black hat,
,v_Archery_g07_c02,Sentence12_v_Archery_g07_c02,A man wearing a black hat playing archery outdoor by aiming at the sky,
,v_Archery_g08_c01,Sentence13_v_Archery_g08_c01,A boy wearing black stripes on white shirt playing archery outside on the grass where the background has a house and some trees,
